,fecha,dia_inicio,provincia,ciudad,tot_casosconf,nue_casosconf_diff,tot_fallecidos,nue_fallecidos_diff,transmision_tipo,informe_tipo,informe_link
0,2/03/2020,1,CABA,,1,1,0,0,importado,,https://www.infobae.com/coronavirus/2020/03/03/confirmaron-el-primer-caso-de-coronavirus-en-la-argentina/
1,3/03/2020,2,Indeterminado,,1,0,0,0,importado,,
2,4/03/2020,3,Indeterminado,,1,0,0,0,importado,,
3,5/03/2020,4,Buenos Aires,,2,1,2,2,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/5-03-2020-nuevo-coronavirus-covid-19-reporte-diario_1.pdf
4,6/03/2020,5,Indeterminado,,2,0,2,0,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/6-03-2020-nuevo-coronavirus-covid-19-reporte-diario_1.pdf
5,7/03/2020,6,Indeterminado,,2,0,2,0,importado,,
6,8/03/2020,7,Buenos Aires,,10,8,2,0,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/8-03-2020-nuevo-coronavirus-covid-19-reporte-diario_0.pdf
7,9/03/2020,8,CABA,,11,1,3,1,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/9-03-2020-nuevo-coronavirus-covid-19-reporte_diario_0.pdf
8,9/03/2020,8,San Luis,,13,2,3,0,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/9-03-2020-nuevo-coronavirus-covid-19-reporte_diario_0.pdf
9,9/03/2020,8,Chaco,,18,5,3,0,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/9-03-2020-nuevo-coronavirus-covid-19-reporte_diario_0.pdf
10,9/03/2020,8,Río Negro,,19,1,3,0,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/9-03-2020-nuevo-coronavirus-covid-19-reporte_diario_0.pdf
11,10/03/2020,9,Buenos Aires,,20,1,3,0,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/10-03-2020-nuevo-coronavirus-covid-19-reporte-diario_1.pdf
12,10/03/2020,9,CABA,,21,1,4,1,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/10-03-2020-nuevo-coronavirus-covid-19-reporte-diario_1.pdf
13,11/03/2020,10,Buenos Aires,,22,1,4,0,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/11-03-2020-nuevo-coronavirus-covid-19-reporte-diario_0.pdf
14,11/03/2020,10,CABA,,23,1,4,0,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/11-03-2020-nuevo-coronavirus-covid-19-reporte-diario_0.pdf
15,12/03/2020,8,CABA,,33,10,4,0,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/12-03-20-nuevo-coronavirus-covid-19_reporte-diario_0.pdf
16,13/03/2020,9,Buenos Aires,,34,1,4,0,importado,informe nacional,https://www.argentina.gob.ar/sites/default/files/13-03-20-reporte-diario-covid-19_0.pdf
